accession,name,ftp_path
GCA_038430175.1,GCA_038430175.1 ASM3843017v1 Ficus hirta,
GCF_933775445.1,GCF_933775445.1 drPotAnse1.1 Argentina anserina,
GCA_000573905.2,GCA_000573905.2 OpunRS2 Oryza punctata,
GCA_022606695.1,GCA_022606695.1 ASM2260669v1 Vaccinium macrocarpon,
GCA_022496805.1,GCA_022496805.1 ASM2249680v1 Pohlia nutans,
GCA_945999865.1,GCA_945999865.1 VITVix110R_v1.0 Vitis cinerea var. helleri x Vitis rupestris,
GCA_018144435.1,GCA_018144435.1 ASM1814443v1 Gossypium tomentosum,
GCA_027726005.1,GCA_027726005.1 MPIPZ_junEff1m_1 Juncus effusus,
GCA_024586325.1,GCA_024586325.1 ASM2458632v1 Stellera chamaejasme,
GCA_033807775.1,GCA_033807775.1 ASM3380777v1 Saussurea involucrata,
GCA_022113865.1,GCA_022113865.1 ASM2211386v1 Chimonanthus praecox,
GCA_033675215.1,GCA_033675215.1 ASM3367521v1 Rhodiola kirilowii,
GCA_028654395.1,GCA_028654395.1 ASM2865439v1 Scutellaria barbata,
GCA_963682055.1,GCA_963682055.1 ddPriVeri1.1 Primula veris,
GCF_029873635.1,GCF_029873635.1 ASM2987363v1 Malania oleifera,
GCF_004379255.2,GCF_004379255.2 SspV2 Salvia splendens,
GCA_028052125.1,GCA_028052125.1 Melaze_AO_1.1 Melia azedarach,
GCA_958299785.1,GCA_958299785.1 drMedLupu1.1 Medicago lupulina,
GCA_011696235.1,GCA_011696235.1 ASM1169623v1 Quercus mongolica,
GCA_002916485.2,GCA_002916485.2 ASM291648v2 Juglans nigra,
GCA_011799875.1,GCA_011799875.1 ASM1179987v1 Thinopyrum elongatum,
GCA_026873135.1,GCA_026873135.1 E.urophylla_SAP_FK118_maternal_v01 Eucalyptus urophylla,
GCA_034770075.1,GCA_034770075.1 ASM3477007v1 Aralia elata,
GCA_963854855.1,GCA_963854855.1 ddNasOffi1.1 Nasturtium officinale,
GCA_020916435.1,GCA_020916435.1 ASM2091643v1 Oxytropis ochrocephala,
GCA_029490685.1,GCA_029490685.1 ASM2949068v1 Schizonepeta tenuifolia,
GCA_030169165.1,GCA_030169165.1 ASM3016916v1 Centaurea solstitialis,
GCF_014773155.1,GCF_014773155.1 arast.V10309.gnm1.PFL2 Arachis stenosperma,
GCA_039654745.1,GCA_039654745.1 CUHK_Hcor_1 Houttuynia cordata,
GCA_026586065.1,GCA_026586065.1 Dzin_1.0 Dioscorea zingiberensis,
GCA_030490815.1,GCA_030490815.1 UCONN_Acsa_1.0 Acer saccharum,
GCA_028551395.1,GCA_028551395.1 ASM2855139v1 Casuarina glauca,
GCF_001633185.2,GCF_001633185.2 ValleyOak3.2 Quercus lobata,
GCA_019320115.1,GCA_019320115.1 ASM1932011v1 Miscanthus floridulus,
GCA_023374045.1,GCA_023374045.1 SDNU_Libico_1.0 Limonium bicolor,
GCA_029228465.1,GCA_029228465.1 ASM2922846v1 Salix viminalis,
GCA_029030765.1,GCA_029030765.1 ASM2903076v1 Salix suchowensis,
GCF_003713205.1,GCF_003713205.1 Ceug_1.0 Coffea eugenioides,
GCA_021533255.1,GCA_021533255.1 ASM2153325v1 Ceriops tagal,
GCA_963854785.1,GCA_963854785.1 ddVacViti1.1 Vaccinium vitis-idaea,
GCA_018340775.1,GCA_018340775.1 ASM1834077v1 Taxus wallichiana var. yunnanensis,
GCA_037501455.1,GCA_037501455.1 LcamUF-T48.hap2 Lantana camara,
GCA_037074505.1,GCA_037074505.1 ASM3707450v1 Albizia julibrissin,
GCA_037954025.1,GCA_037954025.1 Pcoc_1 Phaseolus coccineus,
GCA_039660915.1,GCA_039660915.1 ASM3966091v1 Euphorbia tirucalli,
GCA_037013495.1,GCA_037013495.1 ASM3701349v1 Hippophae tibetana,
GCA_958496215.1,GCA_958496215.1 daVerOffi1.1 Verbena officinalis,
GCA_948465745.1,GCA_948465745.1 dcCheAlbu1.1 Chenopodium album,
GCA_963978565.1,GCA_963978565.1 Citrullus_colocynthis.asm-v1 Citrullus colocynthis,
GCA_946807835.1,GCA_946807835.1 drAilAlti1.1 Ailanthus altissimus,
GCF_958979055.1,GCF_958979055.1 dhAlnGlut1.1 Alnus glutinosa,
GCA_025698465.1,GCA_025698465.1 ASM2569846v1 Gossypium longicalyx,
GCA_025698475.1,GCA_025698475.1 ASM2569847v1 Gossypium anomalum,
GCA_035220775.1,GCA_035220775.1 Mfusca_Hap1_v1.0 Malus fusca,
GCA_036850905.1,GCA_036850905.1 ASM3685090v1 Luffa acutangula,
GCA_000393655.2,GCA_000393655.2 ASM39365v2 Nicotiana sylvestris,
GCA_030064435.1,GCA_030064435.1 ASM3006443v1 Trapa incisa,
GCA_033088355.1,GCA_033088355.1 RDA_CamP2_1.0 Citrullus amarus,
GCA_027789145.1,GCA_027789145.1 ASM2778914v1 Solanum arcanum,
GCA_009720345.1,GCA_009720345.1 FII_1.0 Fragaria iinumae,
GCA_014843725.1,GCA_014843725.1 ASM1484372v1 Amphicarpaea edgeworthii,
GCA_025175895.1,GCA_025175895.1 ASM2517589v1 Wurfbainia villosa,
GCA_035578085.1,GCA_035578085.1 ASM3557808v1 Solanum pinnatisectum,
GCA_026545765.1,GCA_026545765.1 Plantago_major_Chr Plantago major,
GCA_035771175.1,GCA_035771175.1 ASM3577117v1 Paratinospora sagittata,
GCA_916048215.3,GCA_916048215.3 drMalSylv7.3 Malus sylvestris,
GCF_916048215.2,GCF_916048215.2 drMalSylv7.2 Malus sylvestris,
GCA_017165895.1,GCA_017165895.1 ASM1716589v1 Gossypium mustelinum,
GCA_963853835.1,GCA_963853835.1 daCalOffi1.1 Calendula officinalis,
GCA_000218505.1,GCA_000218505.1 Eutrema_parvulum_v01 Schrenkiella parvula,
GCA_020226265.1,GCA_020226265.1 GHT_assembly Prunus mira,
GCA_036346575.1,GCA_036346575.1 KIB_Dsin_1 Dendrocalamus sinicus,
GCA_030444775.1,GCA_030444775.1 ASM3044477v1 Atalantia buxifolia,
GCA_040256895.1,GCA_040256895.1 C.teeta_hap1v1.0 Coptis teeta,
GCA_002189035.1,GCA_002189035.1 U_gibba_v2 Utricularia gibba,
GCA_030762895.1,GCA_030762895.1 ZD_Sfla_1.0 Sophora flavescens,
GCA_016403345.1,GCA_016403345.1 ASM1640334v1 Corylus heterophylla,
GCA_025169955.1,GCA_025169955.1 ASM2516995v1 Salix arbutifolia,
GCA_019671005.1,GCA_019671005.1 ASM1967100v1 Hibiscus mutabilis,
GCA_963667165.1,GCA_963667165.1 ddBarVulg1.1 Barbarea vulgaris,
GCA_951799995.1,GCA_951799995.1 drTriSubt1.1 Trifolium subterraneum,
GCA_024704745.1,GCA_024704745.1 ASM2470474v1 Rosa lucieae,
GCF_019202715.1,GCF_019202715.1 MaoHua_MHT Actinidia eriantha,
GCA_004368105.4,GCA_004368105.4 ASM436810v4 Eucalyptus melliodora,
GCA_014871385.1,GCA_014871385.1 CpurpureusR40_1_0 Ceratodon purpureus,
GCA_016432835.1,GCA_016432835.1 Bnig_sang_1.1 Brassica nigra,
GCA_036937905.1,GCA_036937905.1 ASM3693790v1 Salvia rosmarinus,
GCF_026212465.1,GCF_026212465.1 ASM2621246v1 Amaranthus tricolor,
GCA_031304145.1,GCA_031304145.1 ASM3130414v1 Cardiospermum halicacabum,
GCA_024721245.1,GCA_024721245.1 ASM2472124v1 Mitragyna speciosa,
GCA_012931725.1,GCA_012931725.1 ASM1293172v1 Litsea cubeba,
GCA_001642375.2,GCA_001642375.2 Mlong_CMEN585_v3 Mentha longifolia,
GCA_003412495.2,GCA_003412495.2 ASM341249v2 Echium plantagineum,
GCA_024174645.1,GCA_024174645.1 Salk_lm5633_a03 Lemna minuta,
GCF_013358625.1,GCF_013358625.1 SCU_Mint_v3 Macadamia integrifolia,
GCA_004135705.1,GCA_004135705.1 ASEM_AUS1_V1.0 Alloteropsis semialata,
GCF_000816755.2,GCF_000816755.2 Araip1.1 Arachis ipaensis,
GCA_023539305.1,GCA_023539305.1 CUHK_Ilex_v2.1 Ilex asprella,
GCA_024086825.1,GCA_024086825.1 ASM2408682v1 Abrus pulchellus subsp. cantoniensis,
GCA_950022295.1,GCA_950022295.1 lpBroSter1.1 Bromus sterilis,
GCA_963693085.1,GCA_963693085.1 laAliPlan1.1 Alisma plantago-aquatica,
GCA_023525975.1,GCA_023525975.1 ASM2352597v1 Smallanthus sonchifolius,
GCA_023935145.1,GCA_023935145.1 ASM2393514v1 Bretschneidera sinensis,
GCA_026545225.1,GCA_026545225.1 ASM2654522v1 Cornus controversa,
GCF_029962835.1,GCF_029962835.1 MsV1 Magnolia sinica,
GCA_037074515.1,GCA_037074515.1 ASM3707451v1 Mimosa bimucronata,
GCA_033882615.1,GCA_033882615.1 MA Malus asiatica,
GCA_963277665.1,GCA_963277665.1 drVisAlbu1.1 Viscum album,
GCA_036898165.1,GCA_036898165.1 MJU_Smar_1.0 Silybum marianum,
GCA_028749045.1,GCA_028749045.1 ASM2874904v1 Cupressus sempervirens,
GCA_034509755.1,GCA_034509755.1 ASM3450975v1 Anisodus tanguticus,
GCA_034642375.1,GCA_034642375.1 ASM3464237v1 Vigna nakashimae,
GCA_027405835.1,GCA_027405835.1 Asclepias_syriaca_v1.0_chromosomes Asclepias syriaca,
GCA_015731905.1,GCA_015731905.1 SDv1.1 Salix dunnii,
GCA_029255685.2,GCA_029255685.2 ASM2925568v2 Silene conica,
GCA_951799425.1,GCA_951799425.1 drIleAqui2.1 Ilex aquifolium,
GCF_020921035.1,GCF_020921035.1 ASM2092103v1 Rhodamnia argentea,
GCA_030279155.1,GCA_030279155.1 ASM3027915v1 Forsythia viridissima,
GCA_026401315.1,GCA_026401315.1 BYU_DyAmbr Dysphania ambrosioides,
GCA_947179155.2,GCA_947179155.2 drHedHeli1.2 Hedera helix,
GCA_948329865.1,GCA_948329865.1 daLinVulg1.1 Linaria vulgaris,
GCA_021442195.1,GCA_021442195.1 S.fallax v1.1 Sphagnum fallax,
GCA_028015225.1,GCA_028015225.1 CAF_CaMyos_1.0 Carex myosuroides,
GCF_004785595.1,GCF_004785595.1 Jm3101_v1.0 Juglans microcarpa x Juglans regia,
GCA_000390325.3,GCA_000390325.3 ASM39032v3 Nicotiana tomentosiformis,
GCA_021527575.1,GCA_021527575.1 ASM2152757v1 Ensete glaucum,
GCA_009078335.1,GCA_009078335.1 ASM907833v1 Salix brachista,
GCA_007990325.1,GCA_007990325.1 Gossypium_darwinii_v1.1 Gossypium darwinii,
GCA_950295325.1,GCA_950295325.1 cbPolComm4.1 Polytrichum commune,
GCA_023736055.1,GCA_023736055.1 g3h1 Quercus glauca,
GCA_029891385.1,GCA_029891385.1 ASM2989138v1 Erythroxylum novogranatense,
GCA_030762865.1,GCA_030762865.1 ASM3076286v1 Leonurus japonicus,
GCA_964106655.1,GCA_964106655.1 drFraAlnu1.hap2.1 Frangula alnus,
GCA_019914945.1,GCA_019914945.1 TyphaL0001 Typha latifolia,
GCA_963082935.1,GCA_963082935.1 drMalRobu1.1 Malus x robusta,
GCA_022496015.1,GCA_022496015.1 ASM2249601v1 Hordeum marinum,
GCA_950106755.1,GCA_950106755.1 cbCliDend2.1 Climacium dendroides,
GCA_946800305.1,GCA_946800305.1 drMedArab1.1 Medicago arabica,
GCA_958450325.1,GCA_958450325.1 dcAgrGith1.1 Agrostemma githago,
GCA_963669365.1,GCA_963669365.1 daVerThap1.1 Verbascum thapsus,
GCA_019914995.1,GCA_019914995.1 ASM1991499v1 Acanthochlamys bracteata,
GCA_964188215.1,GCA_964188215.1 drFraMosc1.hap1.1 Fragaria moschata,
GCA_963242795.1,GCA_963242795.1 drIngLeio1.1 Inga leiocalycina,
GCA_033568475.2,GCA_033568475.2 ASM3356847v2 Henckelia pumila,
GCA_019845555.1,GCA_019845555.1 ASM1984555v1 Aristolochia fimbriata,
GCA_029379385.1,GCA_029379385.1 Quisap_AO_1.2 Quillaja saponaria,
GCA_019202795.1,GCA_019202795.1 ASM1920279v1 Arabidopsis thaliana x Arabidopsis arenosa,
GCA_014851425.1,GCA_014851425.1 ASM1485142v1 Senna tora,
GCA_025667525.1,GCA_025667525.1 Gcor_v1 Glebionis coronaria,
GCA_030490835.1,GCA_030490835.1 ASM3049083v1 Annona cherimola,
GCA_024500025.1,GCA_024500025.1 ASM2450002v1 Syzygium aromaticum,
GCA_963680865.1,GCA_963680865.1 dcSpeMari1.1 Spergularia marina,
GCA_948567375.1,GCA_948567375.1 cmLunCruc20.1 Lunularia cruciata,
GCA_947561395.2,GCA_947561395.2 drBuxSemp1.2 Buxus sempervirens,
GCA_963556465.1,GCA_963556465.1 dmBerVulg1.1 Berberis vulgaris,
GCA_015143295.1,GCA_015143295.1 ASM1514329v1 Tetracentron sinense,
GCA_033971965.1,GCA_033971965.1 UNAM_Cfic_1.0 Cucurbita ficifolia,
GCA_011114355.1,GCA_011114355.1 ASM1111435v1 Carex littledalei,
GCA_014282245.1,GCA_014282245.1 ASM1428224v1 Rhododendron simsii,
GCA_964188135.1,GCA_964188135.1 drUrtDioi1.1 Urtica dioica,
GCA_004329165.1,GCA_004329165.1 ASM432916v1 Spatholobus suberectus,
GCA_035582765.1,GCA_035582765.1 UCONN_Acne_2 Acer negundo,
GCA_017893485.1,GCA_017893485.1 ASM1789348v1 Hemerocallis citrina,
GCF_907164915.1,GCF_907164915.1 dImpGla2.1 Impatiens glandulifera,
GCA_005393395.2,GCA_005393395.2 CCRI_HENU_Gaus_1.1 Gossypium australe,
GCA_020921065.1,GCA_020921065.1 USDA_Vadar_1.0_pri Vaccinium darrowii,
GCA_026770425.1,GCA_026770425.1 BoeM4B Boechera divaricarpa,
GCA_030737835.1,GCA_030737835.1 ASM3073783v1 Acorus gramineus,
GCA_023653495.1,GCA_023653495.1 Mcan_v2 Melastoma candidum,
GCA_020826895.1,GCA_020826895.1 ASM2082689v1 Aquilegia kansuensis,
GCA_029783415.1,GCA_029783415.1 ASM2978341v1 Anisodus acutangulus,
GCA_020226215.1,GCA_020226215.1 CAF_Sgla_1.0 Sindora glabra,
GCA_022985045.1,GCA_022985045.1 ASM2298504v1 Macadamia tetraphylla,
GCA_030704615.1,GCA_030704615.1 CNU_Tlep_v3.1 Takakia lepidozioides,
GCA_021442155.1,GCA_021442155.1 ASM2144215v1 Cymbidium sinense,
GCA_963921425.1,GCA_963921425.1 drDryOcto1.1 Dryas octopetala,
GCA_037672795.1,GCA_037672795.1 ASM3767279v1 Lagerstroemia speciosa,
GCA_019656835.1,GCA_019656835.1 ZJU_Rovatum_v1 Rhododendron ovatum,
GCA_037975025.1,GCA_037975025.1 CUHK_Eaga_2.1 Excoecaria agallocha,
GCA_015476505.1,GCA_015476505.1 Embrapa_Uruz_1.0 Urochloa ruziziensis,
GCA_030737845.1,GCA_030737845.1 ASM3073784v1 Acorus calamus,
GCA_026214975.1,GCA_026214975.1 ASM2621497v1 Gentiana macrophylla,
GCA_022545495.1,GCA_022545495.1 ASM2254549v1 Chrysanthemum lavandulifolium,
GCA_007726485.1,GCA_007726485.1 CERZOS_EC1.0 Eragrostis curvula,
GCA_018901935.1,GCA_018901935.1 ASM1890193v1 Pugionium cornutum,
GCA_025688845.1,GCA_025688845.1 ASM2568884v1 Cucumis hystrix,
GCA_022817965.1,GCA_022817965.1 SlydLA2951_v2.0 Solanum lycopersicoides,
GCF_009730915.1,GCF_009730915.1 TDr96_F1_v2_PseudoChromosome.rev07_lg8_w22 25.fasta Dioscorea cayenensis subsp. rotundata,
GCF_022539505.1,GCF_022539505.1 APGP_CSIRO_Lrig_0.1 Lolium rigidum,
GCA_013146195.2,GCA_013146195.2 Bonnet_bellflower_draft_genome_2.0 Codonopsis lanceolata,
GCA_904067115.1,GCA_904067115.1 aegilops_sharonensis_1644_assembly Aegilops sharonensis,
GCA_013677235.1,GCA_013677235.1 ASM1367723v1 Gossypium klotzschianum,
GCA_037043015.1,GCA_037043015.1 EGI_Barg_1.0 Bryum argenteum,
GCA_013621005.1,GCA_013621005.1 IRD_Aeve_1.1 Aeschynomene evenia,
GCF_019186545.1,GCF_019186545.1 ASM1918654v1 Solanum stenotomum,
GCA_030864225.1,GCA_030864225.1 ASM3086422v1 Capsicum baccatum var. pendulum,
GCA_019706035.1,GCA_019706035.1 IVFCAAS_Rs09_1.0 Raphanus raphanistrum subsp. raphanistrum,
GCA_032727855.1,GCA_032727855.1 ASM3272785v1 Quercus ilex subsp. ballota,
GCA_037953625.1,GCA_037953625.1 Cpal_1 Crotalaria pallida,
GCA_040167595.1,GCA_040167595.1 Saponaria_officinalis_var_Norfolk2_v1.0 Saponaria officinalis,
GCA_040143745.1,GCA_040143745.1 ASM4014374v1 Cnidium monnieri,
GCA_954870635.1,GCA_954870635.1 daArcMinu1.1 Arctium minus,
GCA_039654915.1,GCA_039654915.1 ASM3965491v1 Aquilaria yunnanensis,
GCA_039905865.1,GCA_039905865.1 ASM3990586v1 Camellia crapnelliana,
GCA_024322285.1,GCA_024322285.1 ASM2432228v1 Musa beccarii,
GCA_026929855.1,GCA_026929855.1 FRR_PoAnn_1.0 Poa annua,
GCA_033439115.1,GCA_033439115.1 ASM3343911v1 Firmiana major,
GCA_036553675.1,GCA_036553675.1 ASM3655367v1 Solanum okadae,
GCA_037074585.1,GCA_037074585.1 ASM3707458v1 Biancaea sappan,
GCA_030407385.1,GCA_030407385.1 ASM3040738v1 Solanum americanum,
GCA_029948455.1,GCA_029948455.1 IEDA_Sros_1.0 Solanum rostratum,
GCA_963922045.1,GCA_963922045.1 dcPerMacu1.1 Persicaria maculosa,
GCA_033060915.1,GCA_033060915.1 ASM3306091v1 Euryodendron excelsum,
GCA_037428765.1,GCA_037428765.1 ASM3742876v1 Rubia yunnanensis,
GCA_038025085.1,GCA_038025085.1 ASM3802508v1 Tetragonia tetragonoides,
GCA_037349125.1,GCA_037349125.1 ASM3734912v1 Eucalyptus regnans,
GCA_020496765.1,GCA_020496765.1 ZSTU_Gsto Gossypium stocksii,
GCA_037074485.1,GCA_037074485.1 ASM3707448v1 Delonix regia,
GCA_033962825.2,GCA_033962825.2 MM106 haploid consensus genome Malus hybrid rootstock,
GCF_937616625.2,GCF_937616625.2 ddMerAnnu1.2 Mercurialis annua,
GCA_018127125.1,GCA_018127125.1 RGv1.1 Rhododendron griersonianum,
GCA_033883245.1,GCA_033883245.1 MO Malus orientalis,
GCA_023621385.1,GCA_023621385.1 ASM2362138v1 Quercus gilva,
GCA_030954485.1,GCA_030954485.1 USVL531_CMuc_1.0 Citrullus lanatus subsp. mucosospermus,
GCA_963580455.1,GCA_963580455.1 drEuoEuro1.1 Euonymus europaeus,
GCA_031439595.1,GCA_031439595.1 Psan_1.0 Pterocarpus santalinus,
GCA_030763125.1,GCA_030763125.1 ASM3076312v1 Hippophae gyantsensis,
GCA_947179395.2,GCA_947179395.2 daPulDyse1.2 Pulicaria dysenterica,
GCA_964106835.1,GCA_964106835.1 daGalApar1.hap1.1 Galium aparine,
GCA_963682175.1,GCA_963682175.1 laTriMari1.1 Triglochin maritima,
GCA_947034895.1,GCA_947034895.1 cbRhyLore1.1 Rhytidiadelphus loreus,
GCA_036507285.1,GCA_036507285.1 ASM3650728v1 Trichosanthes cucumerina,
GCA_958296335.1,GCA_958296335.1 drUrtUren1.1 Urtica urens,
GCA_954870855.1,GCA_954870855.1 daScuMino1.1 Scutellaria minor,
GCA_963580275.1,GCA_963580275.1 drCraLaev2.1 Crataegus laevigata,
GCA_946800695.1,GCA_946800695.1 drGeuUrba1.1 Geum urbanum,
GCA_949130495.1,GCA_949130495.1 daSamNigr1.1 Sambucus nigra,
GCA_947034885.2,GCA_947034885.2 cbThuTama2.2 Thuidium tamariscinum,
GCA_946814005.1,GCA_946814005.1 drChaAngu1.1 Chamaenerion angustifolium,
GCA_021904315.1,GCA_021904315.1 S.magellanicum v1.1 Sphagnum magellanicum,
GCA_029844215.1,GCA_029844215.1 ASM2984421v1 Przewalskia tangutica,
GCA_018894105.1,GCA_018894105.1 Jmimo_V1 Jacaranda mimosifolia,
GCA_934048045.1,GCA_934048045.1 dcPolAvic1.1 Polygonum aviculare,
GCA_954871525.1,GCA_954871525.1 drParJuda1.1 Parietaria judaica,
GCA_014529385.2,GCA_014529385.2 ASM1452938v2 Adiantum capillus-veneris,
GCA_963678965.1,GCA_963678965.1 daCruLaev1.1 Cruciata laevipes,
GCA_031216125.1,GCA_031216125.1 Dcoc_1.0 Dalbergia cochinchinensis,
GCA_946800315.1,GCA_946800315.1 daMisOron1.1 Misopates orontium,
GCA_023864065.1,GCA_023864065.1 ASM2386406v1 Camelina neglecta,
GCA_030064425.1,GCA_030064425.1 ASM3006442v1 Trapa bicornis,
GCA_035582545.1,GCA_035582545.1 ASM3558254v1 Trapa natans,
GCF_018873765.1,GCF_018873765.1 Tspe_v1 Telopea speciosissima,
GCA_034190965.1,GCA_034190965.1 ASM3419096v1 Prunus campanulata,
GCA_037074715.1,GCA_037074715.1 ASM3707471v1 Magnolia kwangsiensis,
GCA_947034835.1,GCA_947034835.1 daBalNigr1.1 Ballota nigra,
GCA_963555705.1,GCA_963555705.1 daLigVulg1.1 Ligustrum vulgare,
GCA_032871835.1,GCA_032871835.1 Dipteronia_dye Dipteronia dyeriana,
GCA_027562975.1,GCA_027562975.1 MPIPZ_rhyBre1m_1.0 Rhynchospora breviuscula,
GCA_951799445.1,GCA_951799445.1 cbIsoMyos1.1 Isothecium myosuroides,
GCA_964058885.1,GCA_964058885.1 lpCarPend1.1 Carex pendula,
GCA_963675135.1,GCA_963675135.1 daGalTetr1.1 Galeopsis tetrahit,
GCA_033398695.1,GCA_033398695.1 ASM3339869v1 Orobanche coerulescens,
GCA_954870475.1,GCA_954870475.1 daEupConf1.1 Euphrasia confusa,
GCA_024222315.1,GCA_024222315.1 ASM2422231v1 Thymus quinquecostatus,
GCA_963669245.1,GCA_963669245.1 dhQueCerr2.1 Quercus cerris,
GCA_031216405.1,GCA_031216405.1 ASM3121640v1 Syzygium malaccense,
GCA_958295605.1,GCA_958295605.1 daAjuCham1.1 Ajuga chamaepitys,
GCA_030015575.1,GCA_030015575.1 ASM3001557v1 Agapanthus africanus,
GCA_025506415.1,GCA_025506415.1 ASM2550641v1 Flaveria robusta,
GCA_951394345.1,GCA_951394345.1 dcSalRamo1.1 Salicornia ramosissima,
GCA_039657325.1,GCA_039657325.1 ASM3965732v1 Stephania cephalantha,
GCA_954870985.1,GCA_954870985.1 drTriFrag1.1 Trifolium fragiferum,
GCA_036320875.1,GCA_036320875.1 ASM3632087v1 Cotoneaster glaucophyllus,
GCA_031216105.1,GCA_031216105.1 Dcul_1.0 Dalbergia cultrata,
GCA_008009225.1,GCA_008009225.1 AYv1.1 Acer yangbiense,
GCA_023614405.1,GCA_023614405.1 ASM2361440v1 Avena insularis,
GCA_946800325.1,GCA_946800325.1 lpLuzSylv1.1 Luzula sylvatica,
GCA_964106935.1,GCA_964106935.1 drHydVulg1.hap1.1 Hydrocotyle vulgaris,
GCA_029378325.1,GCA_029378325.1 ASM2937832v1 Elaeagnus macrophylla,
GCA_963210345.1,GCA_963210345.1 drIngOers1.1 Inga oerstediana,
GCA_019705995.1,GCA_019705995.1 IVFCAAS_Rs10_1.0 Raphanus raphanistrum x Raphanus sativus,
GCA_958450335.1,GCA_958450335.1 ddHibTrid2.1 Hibiscus tridactylites,
GCA_019359835.1,GCA_019359835.1 ASM1935983v1 Pharus latifolius,
GCA_963921825.1,GCA_963921825.1 drEroMari8.1 Erodium maritimum,
GCA_910589765.1,GCA_910589765.1 Avena_atlantica_CC7277_v1_assembly Avena atlantica,
GCA_963422505.1,GCA_963422505.1 daPseLute1.1 Pseudognaphalium luteoalbum,
GCA_963921325.1,GCA_963921325.1 daLogMini1.1 Logfia minima,
GCA_035048495.1,GCA_035048495.1 Epl_v1.0 Euptelea pleiosperma,
GCA_964016875.1,GCA_964016875.1 dcFalConv1.1 Fallopia convolvulus,
GCA_033220585.1,GCA_033220585.1 ASM3322058v1 Dipteronia sinensis,
GCA_031470985.1,GCA_031470985.1 ASM3147098v1 Agastache rugosa,
GCA_036172225.1,GCA_036172225.1 ASM3617222v1 Cryptocoryne crispatula var. balansae,
GCA_031770325.1,GCA_031770325.1 CAF_BolPas_1.0 Bolboschoenus planiculmis,
GCA_963457585.1,GCA_963457585.1 dcSpeBocc1.1 Spergularia bocconei,
GCA_025594145.1,GCA_025594145.1 ASM2559414v1 Primulina tabacum,
GCA_963573325.1,GCA_963573325.1 drAstGlyc1.1 Astragalus glycyphyllos,
GCA_964059555.1,GCA_964059555.1 drTriOcci1.hap1.1 Trifolium occidentale,
GCA_951804385.1,GCA_951804385.1 drTriDubi3.1 Trifolium dubium,
GCA_963920545.1,GCA_963920545.1 ddLepDidy1.1 Lepidium didymum,
GCA_963995505.1,GCA_963995505.1 ddHypAndr1.1 Hypericum androsaemum,
GCA_023512835.1,GCA_023512835.1 ASM2351283v1 Taxillus chinensis,
GCA_035079005.1,GCA_035079005.1 ASM3507900v1 Fraxinus americana,
GCA_963922005.1,GCA_963922005.1 drCorSuec2.1 Cornus suecica,
GCA_963691705.1,GCA_963691705.1 ddVioOdor1.1 Viola odorata,
GCA_964056655.1,GCA_964056655.1 ddAraHirs1.hap1.1 Arabis hirsuta,
GCA_964145215.1,GCA_964145215.1 ddCalVulg4.hap2.1 Calluna vulgaris,
GCA_020205555.1,GCA_020205555.1 ASM2020555v1 Panax stipuleanatus,
GCA_963555745.1,GCA_963555745.1 ddCarFlex1.1 Cardamine flexuosa,
GCA_019916065.1,GCA_019916065.1 ASM1991606v1 Vitellaria paradoxa,
GCA_031216235.1,GCA_031216235.1 ASM3121623v1 Syzygium jambos,
GCA_022405105.1,GCA_022405105.1 ASM2240510v1 Aristolochia contorta,
GCA_963682095.1,GCA_963682095.1 drPotSter1.1 Potentilla sterilis,
GCA_028551485.1,GCA_028551485.1 ASM2855148v1 Casuarina cunninghamiana,
GCF_008831285.2,GCF_008831285.2 ASM883128v2 Nymphaea colorata,
GCA_013350335.1,GCA_013350335.1 ASM1335033v1 Chimonanthus salicifolius,
GCA_964030465.2,GCA_964030465.2 lpUroDecu1.1 Urochloa decumbens,
GCA_019426215.1,GCA_019426215.1 BAv1.1 Buddleja alternifolia,
GCA_030180135.1,GCA_030180135.1 ASM3018013v1 Orychophragmus violaceus,
GCA_963678935.1,GCA_963678935.1 drUmbRupe1.1 Umbilicus rupestris,
GCA_963920785.1,GCA_963920785.1 csSphCont2.1 Sphagnum contortum,
GCA_951800085.1,GCA_951800085.1 drComPalu1.1 Comarum palustre,
GCA_040143895.1,GCA_040143895.1 PSU_Psup_1 Poa supina,
GCA_011420285.2,GCA_011420285.2 BTI_Eche2.0 Erysimum cheiranthoides,
GCA_022965805.1,GCA_022965805.1 ASM2296580v1 Primulina eburnea,
GCA_016801395.1,GCA_016801395.1 O1 Leptodermis oblonga,
GCA_019022515.1,GCA_019022515.1 ASM1902251v1 Quercus aquifolioides,
GCA_012295165.1,GCA_012295165.1 ASM1229516v1 Asparagus setaceus,
GCA_910589775.1,GCA_910589775.1 Avena_eriantha_BYU132_v1_assembly Avena eriantha,
GCA_008932095.1,GCA_008932095.1 ASM893209v1 Pyrus ussuriensis x Pyrus communis,
GCA_025200525.1,GCA_025200525.1 XYYC_v1.0 Camellia lanceoleosa,
GCA_963576765.1,GCA_963576765.1 ddDraInca1.1 Draba incana,
GCA_030844895.1,GCA_030844895.1 AAC_Ahel_1.0.Atri_hap2 Ambrosia x helenae,
GCA_963920665.1,GCA_963920665.1 cbStrStra4.1 Straminergon stramineum,
GCA_963920655.1,GCA_963920655.1 drGerRotu1.1 Geranium rotundifolium,
